token_id,name,symbol,sector,initial_mcap_usd_m,listing_date,day_offset,sample_date,source,median_spread_bps,volume_units,n_updates_or_trades
bl-tia,Celestia,TIAUSDT,L1_modular,40.0,2023-10-31,1,2023-10-31,bookticker,5.285159212767402,281732.3970604963,1163114.0
bl-tia,Celestia,TIAUSDT,L1_modular,40.0,2023-10-31,3,2023-11-02,bookticker,2.77490141038842,1502100.6979250752,2197073.0
bl-tia,Celestia,TIAUSDT,L1_modular,40.0,2023-10-31,7,2023-11-06,bookticker,2.370143171281973,946800.0467176689,805471.0
bl-tia,Celestia,TIAUSDT,L1_modular,40.0,2023-10-31,14,2023-11-13,bookticker,3.1341737469052067,343884.88125789294,8418684.0
bl-tia,Celestia,TIAUSDT,L1_modular,40.0,2023-10-31,21,2023-11-20,bookticker,1.0405783706914138,218910.30801240238,9138715.0
bl-tia,Celestia,TIAUSDT,L1_modular,40.0,2023-10-31,30,2023-11-29,bookticker,1.0067434324405165,200632.3634222455,2890909.0
bl-tia,Celestia,TIAUSDT,L1_modular,40.0,2023-10-31,45,2023-12-14,bookticker,1.1514690239504919,125943.40300558221,11844054.0
bl-tia,Celestia,TIAUSDT,L1_modular,40.0,2023-10-31,60,2023-12-29,bookticker,1.203448809528164,82560.76210537867,3958533.0
bl-tia,Celestia,TIAUSDT,L1_modular,40.0,2023-10-31,90,2024-01-28,bookticker,0.6881920060687936,70793.83959751847,2520994.0
bl-tia,Celestia,TIAUSDT,L1_modular,40.0,2023-10-31,120,2024-02-27,bookticker,0.7257014539541178,84653.27638589815,3245124.0
bl-tia,Celestia,TIAUSDT,L1_modular,40.0,2023-10-31,150,2024-03-28,bookticker,0.7224467495258562,79952.44983171618,3270015.0
bl-tia,Celestia,TIAUSDT,L1_modular,40.0,2023-10-31,180,2024-04-27,aggtrades,9.985022466300336,2225746.5999999996,28575.0
bl-jto,Jito,JTOUSDT,DeFi_liquid_staking,45.0,2023-12-07,1,2023-12-07,aggtrades,151.85496964696776,126427052.69999999,667942.0
bl-jto,Jito,JTOUSDT,DeFi_liquid_staking,45.0,2023-12-07,3,2023-12-09,bookticker,3.11691298516202,828704.6911977464,9157672.0
bl-jto,Jito,JTOUSDT,DeFi_liquid_staking,45.0,2023-12-07,7,2023-12-13,bookticker,1.876677697615845,1023274.7499595961,2838438.0
bl-jto,Jito,JTOUSDT,DeFi_liquid_staking,45.0,2023-12-07,14,2023-12-20,bookticker,1.5852328897991836,841864.3536725161,2604410.0
bl-jto,Jito,JTOUSDT,DeFi_liquid_staking,45.0,2023-12-07,21,2023-12-27,bookticker,1.7540905982828356,490364.1769826341,1484985.0
bl-jto,Jito,JTOUSDT,DeFi_liquid_staking,45.0,2023-12-07,30,2024-01-05,bookticker,2.0619153475460004,692041.779386765,1432866.0
bl-jto,Jito,JTOUSDT,DeFi_liquid_staking,45.0,2023-12-07,45,2024-01-20,bookticker,1.597852388819713,509514.2284393602,1201418.0
bl-jto,Jito,JTOUSDT,DeFi_liquid_staking,45.0,2023-12-07,60,2024-02-04,bookticker,1.258549734117162,1539981.7952422365,813740.0
bl-jto,Jito,JTOUSDT,DeFi_liquid_staking,45.0,2023-12-07,90,2024-03-05,bookticker,1.1261177691492839,419212.9524490732,3959136.0
bl-jto,Jito,JTOUSDT,DeFi_liquid_staking,45.0,2023-12-07,120,2024-04-04,aggtrades,32.41189721284891,20874416.5,363052.0
bl-jto,Jito,JTOUSDT,DeFi_liquid_staking,45.0,2023-12-07,150,2024-05-04,aggtrades,16.832655682586193,10885384.3,68384.0
bl-jto,Jito,JTOUSDT,DeFi_liquid_staking,45.0,2023-12-07,180,2024-06-03,aggtrades,8.635578762649576,4878482.7,22069.0
bl-pyth,Pyth Network,PYTHUSDT,oracle,50.0,2023-11-20,1,2023-11-20,none,,,
bl-pyth,Pyth Network,PYTHUSDT,oracle,50.0,2023-11-20,3,2023-11-22,bookticker,9.237179013558821,2403720.203203705,528474.0
bl-pyth,Pyth Network,PYTHUSDT,oracle,50.0,2023-11-20,7,2023-11-26,bookticker,2.866538509972937,8176763.124866928,951589.0
bl-pyth,Pyth Network,PYTHUSDT,oracle,50.0,2023-11-20,14,2023-12-03,bookticker,3.175840769648458,7873248.557880118,864950.0
bl-pyth,Pyth Network,PYTHUSDT,oracle,50.0,2023-11-20,21,2023-12-10,bookticker,2.4763126848198405,13951491.482349323,829786.0
bl-pyth,Pyth Network,PYTHUSDT,oracle,50.0,2023-11-20,30,2023-12-19,bookticker,3.289391400257225,16629631.30807478,828068.0
bl-pyth,Pyth Network,PYTHUSDT,oracle,50.0,2023-11-20,45,2024-01-03,bookticker,3.830789754569086,11660975.57319555,1260771.0
bl-pyth,Pyth Network,PYTHUSDT,oracle,50.0,2023-11-20,60,2024-01-18,bookticker,3.6624429790111694,11682065.262034055,984443.0
bl-pyth,Pyth Network,PYTHUSDT,oracle,50.0,2023-11-20,90,2024-02-17,bookticker,1.8626430535244083,7518189.863633763,1097339.0
bl-pyth,Pyth Network,PYTHUSDT,oracle,50.0,2023-11-20,120,2024-03-18,bookticker,1.4534053424793703,5803079.94882218,1646713.0
bl-pyth,Pyth Network,PYTHUSDT,oracle,50.0,2023-11-20,150,2024-04-17,aggtrades,18.983518854085595,24458855.8,56466.0
bl-pyth,Pyth Network,PYTHUSDT,oracle,50.0,2023-11-20,180,2024-05-17,aggtrades,11.514104778353493,30782867.199999996,41148.0
bl-sei,Sei,SEIUSDT,L1_trading,100.0,2023-08-15,1,2023-08-15,aggtrades,59.19869658688738,637604071.4,245206.0
bl-sei,Sei,SEIUSDT,L1_trading,100.0,2023-08-15,3,2023-08-17,bookticker,6.453060320390618,67508593.56435184,1489566.0
bl-sei,Sei,SEIUSDT,L1_trading,100.0,2023-08-15,7,2023-08-21,bookticker,6.893951265204723,163003761.99861503,432046.0
